Q1,Q2,Species,Pool,Season
1.235379473,1.463759628,Littorine,8,March
3.225149895,1.441474015,Littorine,9,March
2.327262449,0.842098335,Littorine,16,March
1.383594085,1.018764313,Littorine,26,March
5.53718544,0.290447358,Littorine,29,March
8.769892074,0.414650277,Littorine,35,March
1.49084902,1.605034341,Littorine,7,March
0.693367026,2.299214675,Littorine,10,March
2.318458734,0.792116416,Littorine,11,March
0.518229246,1.813454172,Littorine,13,March
1.803746203,1.049095545,Littorine,21,March
0.647582084,0.907161827,Littorine,30,March
1.337438898,0.945349774,Littorine,31,March
3.811092541,0.859862789,Littorine,33,March
1.811463011,0.783452133,Littorine,15,March
2.049629596,1.149325525,Littorine,20,March
2.065648042,0.936946251,Littorine,27,March
1.256028642,1.171376286,Littorine,28,March
5.024468929,0.691872903,Littorine,36,March
1.518162538,1.535014145,Littorine,10,July
1.466351408,0.752027623,Littorine,30,July
2.178124864,1.211694234,Littorine,14,July
0.938971491,1.811519614,Littorine,3,July
1.891201137,0.58290719,Littorine,6,July
2.025924051,1.359018497,Littorine,7,July
2.161713209,3.67144995,Littorine,18,July
0.96697325,1.166392144,Littorine,19,July
3.167588958,2.015462073,Littorine,22,July
4.503655804,0.999940614,Littorine,23,July
1.795068825,0.558774144,Littorine,24,July
1.310303847,1.334922367,Littorine,28,July
1.671867005,1.828539182,Littorine,18,September
2.031032445,1.251661356,Littorine,19,September
1.81167619,2.900055809,Littorine,22,September
5.619623488,1.479856794,Littorine,23,September
1.865275336,1.401022285,Littorine,24,September
1.469881803,0.606291803,Littorine,3,September
4.617922025,0.67459435,Littorine,6,September
1.904268391,0.704837599,Littorine,14,September
2.527438022,2.573566193,Littorine,28,September
3.095413252,0.700816881,Mussel,5,March
2.869336787,1.170150737,Mussel,8,March
1.657968679,0.084228077,Mussel,9,March
1.808641891,0.446940748,Mussel,13,March
1.77979779,0.563395795,Mussel,15,March
1.460991374,0.875692376,Mussel,16,March
1.73815234,1.192135634,Mussel,31,March
3.480979287,0.670814741,Mussel,35,March
2.672720297,0.595042125,Mussel,10,March
3.112794115,1.309068424,Mussel,11,March
4.940461873,0.900266184,Mussel,27,March
5.197638338,0.591202077,Mussel,28,March
1.757885863,1.078023763,Mussel,3,March
4.275207498,1.011912025,Mussel,33,March
10.23123263,0.711963276,Mussel,36,March
5.926576958,0.593607175,Mussel,7,March
2.176114016,0.883840891,Mussel,7,July
1.654704289,1.336855367,Mussel,10,July
2.441644649,0.865459867,Mussel,6,July
1.92886736,1.305699287,Mussel,31,July
1.815586346,0.414057042,Mussel,1,July
1.798798612,0.893856857,Mussel,2,July
1.658497637,1.79358762,Mussel,14,July
1.635632514,0.042025946,Mussel,22,July
1.880152112,1.301852726,Mussel,23,July
1.768900029,0.048131045,Mussel,24,July
1.971816848,1.100610571,Mussel,28,July
1.759325707,1.060297271,Mussel,32,July
1.584458577,1.348039716,Mussel,3,July
1.993516848,1.017926479,Mussel,18,July
1.532370724,0.58989136,Mussel,10,September
1.931449252,1.21669024,Mussel,2,September
1.967241874,1.45964409,Mussel,3,September
2.871748726,1.08149905,Mussel,7,September
1.880317088,0.06010933,Mussel,23,September
2.181769941,0.92505167,Mussel,24,September
2.476199427,1.02296582,Mussel,31,September
2.145043515,1.18359972,Mussel,32,September
1.842050109,0.10921352,Mussel,1,September
1.668505372,0.89698949,Mussel,6,September
2.353299669,0.9687211,Mussel,14,September
1.470227451,1.16507686,Mussel,22,September
2.043225047,0.18364338,Mussel,28,September
1.224139487,1.230626866,Hermit,10,March
1.344724962,1.697819623,Hermit,16,March
0.808614142,2.199314926,Hermit,20,March
1.716730076,0.831974783,Hermit,29,March
0.792298848,2.883891394,Hermit,31,March
1.174486933,1.197024372,Hermit,3,March
1.203126123,1.461973967,Hermit,13,March
1.48366153,0.905104556,Hermit,15,March
1.61917747,1.899191365,Hermit,18,March
2.086953343,0.937162531,Hermit,19,March
1.380165533,1.464533186,Hermit,28,March
2.203950054,0.983942591,Hermit,7,July
1.787714842,1.049936138,Hermit,30,July
2.002131318,0.795323014,Hermit,18,July
2.453505047,1.426571478,Hermit,23,July
2.17229534,1.145734276,Hermit,24,July
1.63870023,1.904556442,Hermit,28,July
1.894415598,1.943596585,Hermit,32,July
1.340204684,1.394005878,Hermit,2,July
1.07538536,2.207947855,Hermit,3,July
0.772491449,1.799415788,Hermit,6,July
1.946855857,1.301246985,Hermit,12,July
0.795922496,2.73402041,Hermit,22,July
1.683657702,0.783286904,Hermit,7,September
0.980772945,2.169980751,Hermit,30,September
1.757900559,1.496230184,Hermit,10,September
0.599913396,1.93199595,Hermit,14,September
5.566177941,0.379561876,Hermit,24,September
1.568139553,2.215718884,Hermit,2,September
0.973627241,1.977127775,Hermit,3,September
1.496777777,2.090359976,Hermit,6,September
0.999913827,1.88718806,Hermit,12,September
1.076707992,2.773387807,Hermit,18,September
3.49924354,1.333906696,Hermit,19,September
1.4342215,2.858207708,Hermit,22,September
1.114691651,1.270045178,Hermit,23,September
0.795974407,3.762754408,Hermit,28,September
1.831779176,1.275475917,Hermit,32,September
